"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","user log in with credentials","The user is able to run code in Editor for Implementation of queue page","0","0","4","0","0"
"","Testing Linked List Module","The user run the code in tryEditor with valid input for Creating a Linked List page","0","0","6","0","0"
"","Exploring Graph module","The user is able to navigate to Graph page","0","0","2","0","0"
"","User Logins in with credentials","User on login page and login with invalid inputs","0","0","3","0","0"
"","user log in with credentials","The user is directed to ""Stack"" Page","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to Terminologies Page","0","0","1","0","0"
"","Testing Array Module","User checks invalid code in submodule ""Basic operations in List""","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to a page having an tryEditor","0","0","11","0","0"
"","Testing Linked List Module","User navigated to tryEditor page with Run button from Types of Linked List","0","0","5","0","0"
"","User launch home page of an dsalgo project","User is on Home page and click getstarted link on  home page without sign in","0","0","7","0","0"
"","Datastructure feature","User in DataStructure module","0","0","1","0","0"
"","Testing the tree module","The user is able to signin with registered credential","0","0","1","0","0"
"","Testing the tree module","The user is able to get the error message for invalid syntax","0","0","9","0","0"
"","Testing Array Module","User checks valid code in submodule ""Find numbers with even number of digits""","0","0","1","0","0"
"","user log in with credentials","The user is able to navigate to ""Implementation"" Page","0","0","1","0","0"
"","user log in with credentials","The user is able to navigate to queue page and click on Implementation using arrays link","0","0","2","0","0"
"","user log in with credentials","The user is presented with error message for invalid code in Editor for Implementation of queue page","0","0","4","0","0"
"","Testing the tree module","The user is able to navigate to Tree Traversals Page","0","0","1","0","0"
"","Testing Linked List Module","The user getting error message with invalid python code for Creating a Linked List page","0","0","6","0","0"
"","portal page","Launching portal page and getting started","0","0","1","0","0"
"","user log in with credentials","The user is able to get the error message for invalid syntax","0","0","3","0","0"
"","Testing Array Module","User checks valid code in submodule ""Search the array""","0","0","1","0","0"
"","User Logins in with credentials","User on login page and login with invalid and valid inputs from Excel","0","0","4","0","0"
"","user log in with credentials","The user is able to run code in tryEditor","0","0","3","0","0"
"","User launch home page of an dsalgo project","User is on Home page and click on Register","0","0","2","0","0"
"","Testing the tree module","The user is able to get the error message for invalid syantax","0","0","4","0","0"
"","user registers with username and password","The user is succesfully able to register","1","0","0","0","0"
"","Testing Linked List Module","user navigated to ""Insertion"" page","0","0","1","0","0"
"","Testing the tree module","The user validating Practice Questions page","0","0","1","0","0"
"","Exploring Graph module","User navigated to ""Graph"" page","0","0","1","0","0"
"","Testing the tree module","The user is able to run code in tryEditor","0","0","13","0","0"
"","user log in with credentials","The user is able to navigate to queue page and click on Implementation using collections deque link","0","0","1","0","0"
"","Exploring Graph module","The user should be directed to editor page with run button to test python code","0","0","1","0","0"
"","user log in with credentials","The user should be directed to editor page with run button to test python code","0","0","4","0","0"
"","Testing the tree module","The user is able to navigate to ""Types of Binary trees"" Page","0","0","1","0","0"
"","Exploring Graph module","The user validating ""Practice Questions"" page","0","0","1","0","0"
"","Testing Linked List Module","The user is able to signin with registered credential","0","0","1","0","0"
"","User Logins in with credentials","The user is able to signin with registered credential","0","0","1","0","0"
"","Testing Linked List Module","User navigated to tryEditor page with Run button from Creating a Linked List page","0","0","1","0","0"
"","Exploring Graph module","The user getting error message with invalid python code for Graph page","0","0","2","0","0"
"","User Logins in with credentials","Verifying signout link","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to a Page having an tryEditor","0","0","1","0","0"
"","Testing Linked List Module","user navigated to ""Implementation linked list in python"" page","0","0","1","0","0"
"","Testing Array Module","User checks valid code in submodule ""Max Consecutive Ones""","0","0","1","0","0"
"","Testing Array Module","User checks invalid code in submodule ""Max Consecutive Ones""","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to Implementation in Python Page","0","0","1","0","0"
"","user log in with credentials","The user is able to navigate to a page having an tryEditor","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to Applications of Binary Trees Page","0","0","1","0","0"
"","user log in with credentials","The user is able to navigate ""to operations in Stack page""","0","0","1","0","0"
"","Exploring Graph module","User navigated to tryEditor page with Run button from Graph page","0","0","1","0","0"
"","Testing Array Module","user is on the array page","0","0","1","0","0"
"","Testing Array Module","User checks invalid code in submodule ""Search the array""","0","0","1","0","0"
"","Exploring Graph module","The user run the code in tryEditor with valid input for Graph page","0","0","2","0","0"
"","Testing Linked List Module","User navigated to ""linked list"" page","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to binary tree traversals Page","0","0","1","0","0"
"","user log in with credentials","The user is able to navigate to QueueOp page and click on Practice Questions","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to ""Binary Search Trees"" Page","0","0","1","0","0"
"","user log in with credentials","The user is able to signin with registered credential","0","0","2","0","0"
"","Testing Linked List Module","User navigated to ""Types of linked list"" page","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to Overview of Trees page","0","0","1","0","0"
"","Testing Array Module","User checks valid code in submodule ""Squares of Sorted Array""","0","0","1","0","0"
"","Testing Array Module","User checks invalid code in submodule ""Arrays in Python""","0","0","1","0","0"
"","Testing Array Module","User checks valid code in submodule ""Application of Array""","0","0","1","0","0"
"","user log in with credentials","The user is directed to ""Queue"" Page","0","0","1","0","0"
"","Testing Array Module","User checks valid code in submodule ""Arrays using List""","0","0","1","0","0"
"","Testing the tree module","User navigated to ""Tree"" page","0","0","1","0","0"
"","user log in with credentials","The user is able to navigate to ""Applications"" Page","0","0","1","0","0"
"","Testing Linked List Module","User navigated to ""Introduction"" page","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to ""Traversals illustration"" Page","0","0","1","0","0"
"","Testing Linked List Module","The user getting error message with invalid python code for Introduction page","0","0","1","0","0"
"","user registers with username and password","The user is presented with error message for password mismatch","0","0","1","0","0"
"","user registers with username and password","The user is presented with error message for empty fields below Username textbox","0","0","1","0","0"
"","Testing Linked List Module","User navigated to ""Creating Linked LIst"" page","0","0","1","0","0"
"","Testing Linked List Module","The user run the code in tryEditor with valid input for Introduction page","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to Terminologies page having an tryEditor","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to ""Binary trees"" Page","0","0","1","0","0"
"","user registers with username and password","The user is presented with error message for empty fields below Password textbox","0","0","1","0","0"
"","Testing Array Module","User checks valid code in submodule ""Basic operations in List""","0","0","1","0","0"
"","user log in with credentials","The user is able to navigate to Implementation page having an tryeditor","0","0","1","0","0"
"","User Logins in with credentials","The user goes to registration page when register is clicked","0","0","1","0","0"
"","user log in with credentials","The user is able to navigate to Implementation of Queue in Python link page","0","0","1","0","0"
"","user log in with credentials","The user is able to navigate to ""Practice Questions"" in stack Page","0","0","1","0","0"
"","Testing Array Module","User checks invalid code in submodule ""Squares of Sorted Array""","0","0","1","0","0"
"","Testing Array Module","User checks invalid code in submodule ""Application of Array""","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to Types of Trees Page","0","0","1","0","0"
"","Testing Array Module","User checks invalid code in submodule ""Arrays using List""","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to ""Implementation of BST"" Page","0","0","1","0","0"
"","Testing the tree module","The user is able to navigate to Implementation of Binary Trees Page","0","0","1","0","0"
