"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 20 12:57:32 EDT 2023","Fri Oct 20 12:57:33 EDT 2023","1082","","user log in with credentials","","The user is able to run code in Editor for Implementation of queue page","","The user is able to run code in Editor for Implementation of queue page",""
"passed","Fri Oct 20 12:56:59 EDT 2023","Fri Oct 20 12:56:59 EDT 2023","774","","Testing Linked List Module","","The user run the code in tryEditor with valid input for Creating a Linked List page","","The user run the code in tryEditor with valid input for Creating a Linked List page",""
"passed","Fri Oct 20 12:58:33 EDT 2023","Fri Oct 20 12:58:34 EDT 2023","877","","Exploring Graph module","","The user is able to navigate to Graph page","","The user is able to navigate to Graph page",""
"passed","Fri Oct 20 12:55:48 EDT 2023","Fri Oct 20 12:55:49 EDT 2023","640","","User Logins in with credentials","","User on login page and login with invalid inputs","","User on login page and login with invalid inputs",""
"passed","Fri Oct 20 12:57:06 EDT 2023","Fri Oct 20 12:57:08 EDT 2023","1356","","user log in with credentials","","The user is directed to ""Stack"" Page","","The user is directed to ""Stack"" Page",""
"passed","Fri Oct 20 12:57:44 EDT 2023","Fri Oct 20 12:57:45 EDT 2023","945","","Testing the tree module","","The user is able to navigate to Terminologies Page","","The user is able to navigate to Terminologies Page",""
"passed","Fri Oct 20 12:56:14 EDT 2023","Fri Oct 20 12:56:15 EDT 2023","713","","Testing Array Module","","User checks invalid code in submodule ""Basic operations in List""","","User checks invalid code in submodule ""Basic operations in List""",""
"passed","Fri Oct 20 12:58:03 EDT 2023","Fri Oct 20 12:58:04 EDT 2023","491","","Testing the tree module","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:56:54 EDT 2023","Fri Oct 20 12:56:55 EDT 2023","680","","Testing Linked List Module","","User navigated to tryEditor page with Run button from Types of Linked List","","User navigated to tryEditor page with Run button from Types of Linked List",""
"passed","Fri Oct 20 12:55:30 EDT 2023","Fri Oct 20 12:55:31 EDT 2023","1113","","User launch home page of an dsalgo project","","User is on Home page and click getstarted link on  home page without sign in","","User is on Home page and click getstarted link on  home page without sign in",""
"passed","Fri Oct 20 12:57:52 EDT 2023","Fri Oct 20 12:57:53 EDT 2023","536","","Testing the tree module","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:55:56 EDT 2023","Fri Oct 20 12:56:02 EDT 2023","6436","","Datastructure feature","","User in DataStructure module","","User in DataStructure module",""
"passed","Fri Oct 20 12:57:39 EDT 2023","Fri Oct 20 12:57:40 EDT 2023","891","","Testing the tree module","","The user is able to signin with registered credential","","The user is able to signin with registered credential",""
"passed","Fri Oct 20 12:58:20 EDT 2023","Fri Oct 20 12:58:21 EDT 2023","731","","Testing the tree module","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:58:25 EDT 2023","Fri Oct 20 12:58:26 EDT 2023","935","","Testing the tree module","","The user is able to get the error message for invalid syntax","","The user is able to get the error message for invalid syntax",""
